original_firstname	original_lastname	first_name	family_name	source	initials	wos_form
ZUOWAN	ZHOU	ZUOWAN	ZHOU	ISGC	Z	ZHOU Z
LUCIANA	AGOSTINHO	LUCIANA	AGOSTINHO	ISGC	L	AGOSTINHO L
MARINA	OLIVEIRA	MARINA	OLIVEIRA	ISGC	M	OLIVEIRA M
MATHEUS	ATTADEMO	MATHEUS	ATTADEMO	ISGC	M	ATTADEMO M
PEDRO	ROCHA-FILHO	PEDRO	ROCHA FILHO	ISGC	P	ROCHA-FILHO P
CHONG	LI	CHONG	LI	ISGC	C	LI C
XIAOFENG	YANG	XIAOFENG	YANG	ISGC	X	YANG X
SHI	GAO	SHI	GAO	ISGC	S	GAO S
CAROL SZE KI	LIN	CAROL SZE KI	LIN	ISGC	CSK	LIN CSK
NAM HAI	HOANG	NAM HAI	HOANG	ISGC	NH	HOANG NH
TOMOKO	MATSUDA	TOMOKO	MATSUDA	ISGC	T	MATSUDA T
SHUICHI	MORI	SHUICHI	MORI	ISGC	S	MORI S
DEEPAK	PANT	DEEPAK	PANT	ISGC	D	PANT D
SUMAN	BAJRACHARYA	SUMAN	BAJRACHARYA	ISGC	S	BAJRACHARYA S
KAROLIEN	VANBROEKHOVEN	KAROLIEN	VANBROEKHOVEN	ISGC	K	VANBROEKHOVEN K
HAI	HOANG	NAM HAI	HOANG	ISGC	H	HOANG H
CHAHINAZ	KHIAR	CHAHINAZ	KHIAR	ISGC	C	KHIAR C
TASSADIT	MAZARI	TASSADIT	MAZARI	ISGC	T	MAZARI T
LEILA	BENNINI	LEILA	BENNINI	ISGC	L	BENNINI L
MOURAD	HALOUANE	MOURAD	HALOUANE	ISGC	M	HALOUANE M
SALIHA	MENAD	SALIHA	MENAD	ISGC	S	MENAD S
FRANÇOIS-XAVIER	FELPIN	FRANCOIS XAVIER	FELPIN	ISGC	F	FELPIN F
JULIEN	HITCE	JULIEN	HITCE	ISGC	J	HITCE J
HENRI	CRAMAIL	HENRI	CRAMAIL	ISGC	H	CRAMAIL H
CARLOS	FERNANDEZ	CARLOS	FERNANDEZ	ISGC	C	FERNANDEZ C
ALAIN	BONNEVILLE	ALAIN	BONNEVILLE	ISGC	A	BONNEVILLE A
ANDREW	KUPRAT	ANDREW	KUPRAT	ISGC	A	KUPRAT A
TAMAS	VARGA	TAMAS	VARGA	ISGC	T	VARGA T
M IAN	CHILDERS	M IAN	CHILDERS	ISGC	MI	CHILDERS MI
VARUN	GUPTA	VARUN	GUPTA	ISGC	V	GUPTA V
XIN	SUN	XIN	SUN	ISGC	X	SUN X
TSZ HIM	KWAN	TSZ HIM	KWAN	ISGC	TH	KWAN TH
WEN TAO	TANG	WEN TAO	TANG	ISGC	WT	TANG WT
KHAI LUN	ONG	KHAI LUN	ONG	ISGC	KL	ONG KL
ARIFUL	HAQUE MD	MD ARIFUL	HAQUE	ISGC	A	HAQUE MD A
SOPHIE	DETERRE	SOPHIE	DETERRE	ISGC	S	DETERRE S
JONATHAN	MCDONOUGH	JONATHAN	MCDONOUGH	ISGC	J	MCDONOUGH J
ANH	PHAN	ANH	PHAN	ISGC	A	PHAN A
ADAM	HARVEY	ADAM	HARVEY	ISGC	A	HARVEY A
JOÃO	SANTOS	JOAO	SANTOS	ISGC	J	SANTOS J
CLÁUDIA	MARTINS	CLAUDIA	MARTINS	ISGC	C	MARTINS C
JOÃO	COUTINHO	JOAO A P	COUTINHO	ISGC	J	COUTINHO J
SÓNIA	VENTURA	SONIA P M	VENTURA	ISGC	S	VENTURA S
WENTAO	TANG	WEN TAO	TANG	ISGC	W	TANG W
MD ARIFUL	HAQUE	MD ARIFUL	HAQUE	ISGC	MA	HAQUE MA
IGOR	KRYLOV	IGOR	KRYLOV	ISGC	I	KRYLOV I
ALEXANDER	TERENT'EV	ALEXANDER	TERENTEV	ISGC	A	TERENT'EV A
VERA	VIL'	VERA	VIL	ISGC	V	VIL' V
MATTI	KARP	MATTI	KARP	ISGC	M	KARP M
VILLE	SANTALA	VILLE	SANTALA	ISGC	V	SANTALA V
RAHUL	MANGAYIL	RAHUL	MANGAYIL	ISGC	R	MANGAYIL R
AMANDINE	FLOURAT	AMANDINE	FLOURAT	ISGC	A	FLOURAT A
ABDERRAHIM	REKLA	ABDERRAHIM	REKLA	ISGC	A	REKLA A
ANDREIA	TEIXEIRA	ANDREIA	TEIXEIRA	ISGC	A	TEIXEIRA A
BASTIEN	KAUFFMANN	BASTIEN	KAUFFMANN	ISGC	B	KAUFFMANN B
TIPHAINE	CLEMENT	TIPHAINE	CLEMENT	ISGC	T	CLEMENT T
FLORENT	ALLAIS	FLORENT	ALLAIS	ISGC	F	ALLAIS F
AUMBER	ABBAS	AUMBER	ABBAS	ISGC	A	ABBAS A
PRINCE	AMANIAMPONG	PRINCE	AMANIAMPONG	ISGC	P	AMANIAMPONG P
ANA CLÁUDIA	LEITE	ANA CLAUDIA	LEITE	ISGC	AC	LEITE AC
ANA M	FERREIRA	ANA MARIA	FERREIRA	ISGC	AM	FERREIRA AM
AMINOU	MOHAMADOU	AMINOU	MOHAMADOU	ISGC	A	MOHAMADOU A
BJARNE	HOLMBOM	BJARNE	HOLMBOM	ISGC	B	HOLMBOM B
THOMAS	HOLMBOM	THOMAS	HOLMBOM	ISGC	T	HOLMBOM T
JOÃO A P	COUTINHO	JOAO A P	COUTINHO	ISGC	JAP	COUTINHO JAP
MARA G	FREIRE	MARA G	FREIRE	ISGC	MG	FREIRE MG
ARMANDO J D	SILVESTRE	ARMANDO J D	SILVESTRE	ISGC	AJD	SILVESTRE AJD
TERESA B V	DINIS	TERESA B V	DINIS	ISGC	TBV	DINIS TBV
HELENA	PASSOS	HELENA	PASSOS	ISGC	H	PASSOS H
DIANA L D	LIMA	DIANA L D	LIMA	ISGC	DLD	LIMA DLD
VALDEMAR I	ESTEVES	VALDEMAR I	ESTEVES	ISGC	VI	ESTEVES VI
LUÍS	BARBOSA	LUIS	BARBOSA	ISGC	L	BARBOSA L
CATARINA M S S	NEVES	CATARINA M S S	NEVES	ISGC	CMSS	NEVES CMSS
AFRODITI	CHATZIFRAGKOU	AFRODITI	CHATZIFRAGKOU	ISGC	A	CHATZIFRAGKOU A
DIMITRIS	CHARALAMPOPOULOS	DIMITRIS	CHARALAMPOPOULOS	ISGC	D	CHARALAMPOPOULOS D
NURULAQILAH	MOHD ZAINI	NURUL AQILAH MOHD	ZAINI	ISGC	N	MOHD ZAINI N
LISA	WEIGAND	LISA	WEIGAND	ISGC	L	WEIGAND L
TOM	WELTON	TOM	WELTON	ISGC	T	WELTON T
WEI-CHIEN	TU	WEI CHIEN	TU	ISGC	W	TU W
JASON	HALLETT	JASON	HALLETT	ISGC	J	HALLETT J
LOUISE	SUMMERTON	LOUISE	SUMMERTON	ISGC	L	SUMMERTON L
MOHAMMAD GHITH	AL-SHAAL	MOHAMMAD GHITH	AL SHAAL	ISGC	MG	AL-SHAAL MG
MARVIN	METZELAARS	MARVIN	METZELAARS	ISGC	M	METZELAARS M
LAILA	SAHRAOUI	LAILA	SAHRAOUI	ISGC	L	SAHRAOUI L
