institution	url	ror_results	chosen	score	matching_type	organization.name	organization.id	organization.country.country_name
;STATE KEY LABORATORY OF PHYSICAL CHEMISTRY OF SOLID SURFACES; STATE KEY LABORATORY OF PHYSICAL CHEMISTRY OF SOLID SURFACES; COLLABORATIVE INNOVATION CENTER OF CHEMISTRY FOR ENERGY MATERIALS; COLLEGE OF CHEMISTRY AND CHEMICAL ENGINEERING								
1DEPARTMENT OF BIOPROCESS AND BIOTECHNOLOGY, SCHOOL OF PHARMACEUTICAL SCIENCES, UNIVERSIDADE ESTADUAL PAULISTA - UNESP	https://api.ror.org/organizations?affiliation=1DEPARTMENT+OF+BIOPROCESS+AND+BIOTECHNOLOGY,+SCHOOL+OF+PHARMACEUTICAL+SCIENCES,+UNIVERSIDADE+ESTADUAL+PAULISTA+-+UNESP	54	FALSE	0.9	ACRONYM	São Paulo State University	https://ror.org/00987cb86	Brazil
2) OPHTHALMOLOGY, UNIVERSITY OF HELSINKI AND HELSINKI UNIVERSITY HOSPITAL	https://api.ror.org/organizations?affiliation=2)+OPHTHALMOLOGY,+UNIVERSITY+OF+HELSINKI+AND+HELSINKI+UNIVERSITY+HOSPITAL	41	TRUE	1	COMMON TERMS	Helsinki University Hospital	https://ror.org/02e8hzf44	Finland
3) INSTITUTE OF PHARMACEUTICAL SCIENCES, UNIVERSITY OF TUEBINGEN	https://api.ror.org/organizations?affiliation=3)+INSTITUTE+OF+PHARMACEUTICAL+SCIENCES,+UNIVERSITY+OF+TUEBINGEN	57	TRUE	0.98	FUZZY	University of Tübingen	https://ror.org/03a1kwz48	Germany
3B’S RESEARCH GROUP	https://api.ror.org/organizations?affiliation=3B'S+RESEARCH+GROUP	14	FALSE	0.71	COMMON TERMS	Calcutta Research Group	https://ror.org/0105syj83	India
3B’S RESEARCH GROUP -UNIVERSITY OF MINHO	https://api.ror.org/organizations?affiliation=3B'S+RESEARCH+GROUP+-UNIVERSITY+OF+MINHO	20	TRUE	1	COMMON TERMS	University of Minho	https://ror.org/037wpkx04	Portugal
3BS RESEARCH GROUP	https://api.ror.org/organizations?affiliation=3BS+RESEARCH+GROUP	14	FALSE	0.73	COMMON TERMS	Calcutta Research Group	https://ror.org/0105syj83	India
3BS RESEARCH GROUP- BIOMATERIALS, BIODEGRADABLE AND BIOMIMETIC	https://api.ror.org/organizations?affiliation=3BS+RESEARCH+GROUP-+BIOMATERIALS,+BIODEGRADABLE+AND+BIOMIMETIC	45	TRUE	0.9	ACRONYM	Advanced Neural Dynamics (United States)	https://ror.org/05k7ts633	United States
3ECLT LAB - EUROPEAN CENTRE FOR LIVING TECHNOLOGY, CA’ FOSCARI UNIVERSITY DI VENEZIA	https://api.ror.org/organizations?affiliation=3ECLT+LAB+-+EUROPEAN+CENTRE+FOR+LIVING+TECHNOLOGY,+CA'+FOSCARI+UNIVERSITY+DI+VENEZIA	0						
3UNIVERSIDADE REGIONAL DE BLUMENAU, DEPARTAMENTO DE QUÍMICA	https://api.ror.org/organizations?affiliation=3UNIVERSIDADE+REGIONAL+DE+BLUMENAU,+DEPARTAMENTO+DE+QUIMICA	3	FALSE	0.57	COMMON TERMS	University of Puerto Rico at Aguadilla	https://ror.org/04w7hre37	United States
525 SOLUTIONS, INC.	https://api.ror.org/organizations?affiliation=525+SOLUTIONS,+INC.	35	TRUE	1	PHRASE	525 Solutions (United States)	https://ror.org/02ax1e863	United States
a- Laboratoire de Chimie Org. App., Universite´ Badji Mokhtar, BP 12, Annaba, Algérie								
a- Laboratoire de Chimie Org. App., Universite´ Badji Mokhtar, BP 12, Annaba, Algérie. b- Département de Pharmacie, Faculté de Médecine Université Badji Mokhtar, Annaba, Algérie								
A. LABORATOIRE TIMR, EA4297, SORBONNE UNIVERSITÉS - UNIVERSITÉ DE TECHNOLOGIE DE COMPIÈGNE	https://api.ror.org/organizations?affiliation=A.+LABORATOIRE+TIMR,+EA4297,+SORBONNE+UNIVERSITES+-+UNIVERSITE+DE+TECHNOLOGIE+DE+COMPIEGNE	2	FALSE	0.7	FUZZY	Abbott (United States)	https://ror.org/0052svj16	United States
ABO AKADEMI	https://api.ror.org/organizations?affiliation=ABO+AKADEMI	3	TRUE	1	PHRASE	Åbo Akademi University	https://ror.org/029pk6x14	Finland
ÅBO AKADEMI	https://api.ror.org/organizations?affiliation=ABO+AKADEMI	3	TRUE	1	PHRASE	Åbo Akademi University	https://ror.org/029pk6x14	Finland
Abo Akademi University	https://api.ror.org/organizations?affiliation=Abo+Akademi+University	18	TRUE	1	PHRASE	Åbo Akademi University	https://ror.org/029pk6x14	Finland
Åbo Akademi University	https://api.ror.org/organizations?affiliation=Abo+Akademi+University	18	TRUE	1	PHRASE	Åbo Akademi University	https://ror.org/029pk6x14	Finland
ÅBO AKADEMI UNIVERSITY	https://api.ror.org/organizations?affiliation=ABO+AKADEMI+UNIVERSITY	20	TRUE	1	PHRASE	Åbo Akademi University	https://ror.org/029pk6x14	Finland
ÅBO AKADEMIC UNIVERSITY	https://api.ror.org/organizations?affiliation=ABO+AKADEMIC+UNIVERSITY	20	TRUE	0.98	COMMON TERMS	Åbo Akademi University	https://ror.org/029pk6x14	Finland
ABORATOIRE DE CHIMIE DES POLYMÈRES ORGANIQUES UMR 5629, PESSAC, FRANCE	https://api.ror.org/organizations?affiliation=ABORATOIRE+DE+CHIMIE+DES+POLYMERES+ORGANIQUES+UMR+5629,+PESSAC,+FRANCE	31	FALSE	1	ACRONYM	Arizona Department of Economic Security	https://ror.org/00s8v8467	United States
ACHUIKO INSTITUTE OF SURFACE CHEMISTRY OF NATIONAL ACADEMY OF SCIENCES OF UKRAINE	https://api.ror.org/organizations?affiliation=ACHUIKO+INSTITUTE+OF+SURFACE+CHEMISTRY+OF+NATIONAL+ACADEMY+OF+SCIENCES+OF+UKRAINE	1	FALSE	0.54	FUZZY	Chuiko Institute of Surface Chemistry	https://ror.org/01298dc11	Ukraine
ACS GREEN CHEMISTRY INSTITUTE	https://api.ror.org/organizations?affiliation=ACS+GREEN+CHEMISTRY+INSTITUTE	28	FALSE	0.9	ACRONYM	Alcohol Countermeasure Systems (Canada)	https://ror.org/00mnqcr93	Canada
ACSIR- CENTRAL SALT & MARINE CHEMICALS RESEARCH INSTITUTE	https://api.ror.org/organizations?affiliation=ACSIR-+CENTRAL+SALT+&+MARINE+CHEMICALS+RESEARCH+INSTITUTE	18	TRUE	0.9	ACRONYM	Stichting Artsenlaboratorium en Trombosedienst	https://ror.org/00xe2gs46	Netherlands
ACTIVATION	https://api.ror.org/organizations?affiliation=ACTIVATION	0						
Adam Mickiewicz University in Poznan	https://api.ror.org/organizations?affiliation=Adam+Mickiewicz+University+in+Poznan	17	TRUE	1	PHRASE	Adam Mickiewicz University in Poznań	https://ror.org/04g6bbq64	Poland
ADD	https://api.ror.org/organizations?affiliation=ADD	2	FALSE	0.9	ACRONYM	Agency for Defense Development	https://ror.org/05fhe0r85	South Korea
Adisseo	https://api.ror.org/organizations?affiliation=Adisseo	0						
ADISSEO	https://api.ror.org/organizations?affiliation=ADISSEO	0						
Advanced Materials Research Chair, Department of Chemistry, College of Science, Bld#5, King Saud University, P.O. BOX-2455, Riyadh -11451, Saudi Arabia	https://api.ror.org/organizations?affiliation=Advanced+Materials+Research+Chair,+Department+of+Chemistry,+College+of+Science,+Bld#5,+King+Saud+University,+P.O.+BOX-2455,+Riyadh+-11451,+Saudi+Arabia	70	TRUE	0.9	COMMON TERMS	HAMR Industries (United States)	https://ror.org/00z87ds37	United States
Agri-Food & Bioscience Institute of Northern Irela	https://api.ror.org/organizations?affiliation=Agri-Food+&+Bioscience+Institute+of+Northern+Irela	0						
Agri-Food & Bioscience Institute of Northern Ireland	https://api.ror.org/organizations?affiliation=Agri-Food+&+Bioscience+Institute+of+Northern+Ireland	0						
Agri-Food and Biosciences Institute	https://api.ror.org/organizations?affiliation=Agri-Food+and+Biosciences+Institute	30	TRUE	0.97	PHRASE	Agri Food and Biosciences Institute	https://ror.org/05c5y5q11	United Kingdom
Agro-Environmental Department, Agricultural University of Tirana	https://api.ror.org/organizations?affiliation=Agro-Environmental+Department,+Agricultural+University+of+Tirana	40	FALSE	1	COMMON TERMS	University of Tirana	https://ror.org/03g9v2404	Albania
Agro-Industrie Recherches et Développement	https://api.ror.org/organizations?affiliation=Agro-Industrie+Recherches+et+Developpement	17	FALSE	0.74	FUZZY	ARMINES	https://ror.org/00dcrfk74	France
AgroParisTech - ADEPRINA	https://api.ror.org/organizations?affiliation=AgroParisTech+-+ADEPRINA	0						
AgroParisTech - Chaire ABI	https://api.ror.org/organizations?affiliation=AgroParisTech+-+Chaire+ABI	14	FALSE	0.9	ACRONYM	Arctic Business Incubator (Sweden)	https://ror.org/02mjvaa14	Sweden
AgroParisTech, Chaire Agro-Biotechnologies Industrielles (ABI)	https://api.ror.org/organizations?affiliation=AgroParisTech,+Chaire+Agro-Biotechnologies+Industrielles+(ABI)	20	TRUE	0.93	COMMON TERMS	Agro ParisTech	https://ror.org/02kbmgc12	France
AgroParisTech, UMR1145 Ingénierie Procédés Aliments	https://api.ror.org/organizations?affiliation=AgroParisTech,+UMR1145+Ingenierie+Procedes+Aliments	14	FALSE	0.74	COMMON TERMS	Laboratoire Ingénierie, Procédés, Aliments	https://ror.org/00pykk203	France
AIST	https://api.ror.org/organizations?affiliation=AIST	2	FALSE	0.9	ACRONYM	National Institute of Advanced Industrial Science and Technology	https://ror.org/01703db54	Japan
AIX MARSEILLE UNIVERSITY	https://api.ror.org/organizations?affiliation=AIX+MARSEILLE+UNIVERSITY	19	TRUE	1	PHRASE	Aix-Marseille University	https://ror.org/035xkbk20	France
AIX-MARSEILLE UNIVERSITÉ, INRA, BIODIVERSITÉ ET BIOTECHNOLOGIE FONGIQUES	https://api.ror.org/organizations?affiliation=AIX-MARSEILLE+UNIVERSITE,+INRA,+BIODIVERSITE+ET+BIOTECHNOLOGIE+FONGIQUES	39	TRUE	1	PHRASE	Fungal Biodiversity and Biotechnology	https://ror.org/021x7r354	France
AK ChemTech Central Research Lab	https://api.ror.org/organizations?affiliation=AK+ChemTech+Central+Research+Lab	0						
Akvaplan-niva AS, Fram Center	https://api.ror.org/organizations?affiliation=Akvaplan-niva+AS,+Fram+Center	17	TRUE	1	COMMON TERMS	Akvaplan-niva (Norway)	https://ror.org/03nrps502	Norway
Algaplus	https://api.ror.org/organizations?affiliation=Algaplus	1	TRUE	1	PHRASE	AlgaPlus (Portugal)	https://ror.org/04vafcv05	Portugal
ALGAPLUS, LTDA	https://api.ror.org/organizations?affiliation=ALGAPLUS,+LTDA	9	TRUE	1	PHRASE	AlgaPlus (Portugal)	https://ror.org/04vafcv05	Portugal
ALGÉRIE	https://api.ror.org/organizations?affiliation=ALGERIE	0						
algosource	https://api.ror.org/organizations?affiliation=algosource	0						
ALMA MATER STUDIORUM - UNIVERSITY OF BOLOGNA	https://api.ror.org/organizations?affiliation=ALMA+MATER+STUDIORUM+-+UNIVERSITY+OF+BOLOGNA	19	TRUE	1	COMMON TERMS	University of Bologna	https://ror.org/01111rn36	Italy
AMAR TELIDJI UNIVERSITY	https://api.ror.org/organizations?affiliation=AMAR+TELIDJI+UNIVERSITY	20	FALSE	0.68	FUZZY	University of Calabria	https://ror.org/02rc97e94	Italy
AMAR THELIDJI UNIVERSITY	https://api.ror.org/organizations?affiliation=AMAR+THELIDJI+UNIVERSITY	20	FALSE	0.67	FUZZY	University of Calabria	https://ror.org/02rc97e94	Italy
AMERICAN CHEMICAL SOCIETY	https://api.ror.org/organizations?affiliation=AMERICAN+CHEMICAL+SOCIETY	19	TRUE	1	PHRASE	American Chemical Society	https://ror.org/059dqb057	United States
AMOREPACIFIC	https://api.ror.org/organizations?affiliation=AMOREPACIFIC	1	TRUE	1	PHRASE	Amorepacific (South Korea)	https://ror.org/031p65n62	South Korea
AMU	https://api.ror.org/organizations?affiliation=AMU	7	FALSE	0.9	ACRONYM	Ave Maria University	https://ror.org/00xwqff48	United States
Analitical and Organic Chemistry Department - University Rovira i Virgili	https://api.ror.org/organizations?affiliation=Analitical+and+Organic+Chemistry+Department+-+University+Rovira+i+Virgili	22	TRUE	0.95	COMMON TERMS	Rovira i Virgili University	https://ror.org/00g5sqv46	Spain
ANHUI UNIVERSITY OF SCIENCE AND TECHNOLOGY	https://api.ror.org/organizations?affiliation=ANHUI+UNIVERSITY+OF+SCIENCE+AND+TECHNOLOGY	20	TRUE	1	PHRASE	Anhui University of Science and Technology	https://ror.org/00q9atg80	China
ANSES, Ploufragan-Plouzané Laboratory, Unit of Viral Pathology in Fish,	https://api.ror.org/organizations?affiliation=ANSES,+Ploufragan-Plouzane+Laboratory,+Unit+of+Viral+Pathology+in+Fish,	48	TRUE	0.9	ACRONYM	French Agency for Food, Environmental and Occupational Health & Safety	https://ror.org/0471kz689	France
ANTANANARIVO UNIVERSITY	https://api.ror.org/organizations?affiliation=ANTANANARIVO+UNIVERSITY	28	TRUE	0.94	COMMON TERMS	University of Antananarivo	https://ror.org/02w4gwv87	Madagascar
ARD	https://api.ror.org/organizations?affiliation=ARD	0						
ARD - WHEATOLEO	https://api.ror.org/organizations?affiliation=ARD+-+WHEATOLEO	8	TRUE	0.9	ACRONYM	Association for Rural Development	https://ror.org/04j7knk69	India
ARD-AGRO-INDUSTRIE RECHERCHES ET DÉVELOPPEMENTS	https://api.ror.org/organizations?affiliation=ARD-AGRO-INDUSTRIE+RECHERCHES+ET+DEVELOPPEMENTS	22	TRUE	0.9	ACRONYM	Association for Rural Development	https://ror.org/04j7knk69	India
Aristotle University of Thessaloniki	https://api.ror.org/organizations?affiliation=Aristotle+University+of+Thessaloniki	19	TRUE	1	PHRASE	Aristotle University of Thessaloniki	https://ror.org/02j61yw88	Greece
ARISTOTLE UNIVERSITY OF THESSALONIKI	https://api.ror.org/organizations?affiliation=ARISTOTLE+UNIVERSITY+OF+THESSALONIKI	29	TRUE	1	PHRASE	Aristotle University of Thessaloniki	https://ror.org/02j61yw88	Greece
Aristotle University of Thessaloniki, Department of Chemistry	https://api.ror.org/organizations?affiliation=Aristotle+University+of+Thessaloniki,+Department+of+Chemistry	40	TRUE	1	PHRASE	Aristotle University of Thessaloniki	https://ror.org/02j61yw88	Greece
Arkema	https://api.ror.org/organizations?affiliation=Arkema	5	FALSE	1	PHRASE	Arkema (United Kingdom)	https://ror.org/00pdsbg03	United Kingdom
ARKEMA	https://api.ror.org/organizations?affiliation=ARKEMA	5	FALSE	1	PHRASE	Arkema (United Kingdom)	https://ror.org/00pdsbg03	United Kingdom
ARKEMA - Pierre Bénite Research Center (CRRA)	https://api.ror.org/organizations?affiliation=ARKEMA+-+Pierre+Benite+Research+Center+(CRRA)	13	FALSE	0.82	COMMON TERMS	Jean-Pierre Aubert Research Center	https://ror.org/00x76wb44	France
Arkema CRRA	https://api.ror.org/organizations?affiliation=Arkema+CRRA	0						
ARMEN Instrument	https://api.ror.org/organizations?affiliation=ARMEN+Instrument	17	FALSE	0.8	COMMON TERMS	ASC Instrument (France)	https://ror.org/02cv2sp17	France
