name	original_firstname	original_lastname	first_name	family_name	source	initials	wos_form
DAVID, ABAD REMIRO	DAVID	ABAD REMIRO	DAVID	ABAD REMIRO	ISGC	D	ABAD REMIRO D
MARC-ANTOINE, ABADIE	MARC-ANTOINE	ABADIE	MARC ANTOINE	ABADIE	ISGC	M	ABADIE M
MARC ANTOINE, ABADIE	MARC ANTOINE	ABADIE	MARC ANTOINE	ABADIE	ISGC	MA	ABADIE MA
SALVATORE, ABATE	SALVATORE	ABATE	SALVATORE	ABATE	ISGC	S	ABATE S
AUMBER, ABBAS	AUMBER	ABBAS	AUMBER	ABBAS	ISGC	A	ABBAS A
MOUSTAFA, ABBASSY	MOUSTAFA	ABBASSY	MOUSTAFA	ABBASSY	ISGC	M	ABBASSY M
OMAR, ABDELAZIZ	OMAR	ABDELAZIZ	OMAR	ABDELAZIZ	ISGC	O	ABDELAZIZ O
J, ABDOUL-ZABAR	J	ABDOUL-ZABAR	JULIANE	ABDOUL ZABAR	ISGC	J	ABDOUL-ZABAR J
JULIANE, ABDOUL ZABAR	JULIANE	ABDOUL ZABAR	JULIANE	ABDOUL ZABAR	ISGC	J	ABDOUL ZABAR J
DINIS O, ABRANCHES	DINIS O	ABRANCHES	DINIS O	ABRANCHES	ISGC	DO	ABRANCHES DO
HELENA, ABREU	HELENA	ABREU	HELENA	ABREU	ISGC	H	ABREU H
RUI M V, ABREU	RUI M V	ABREU	RUI M V	ABREU	ISGC	RMV	ABREU RMV
VICTOR MANUEL, ACEITUNO MELGAR	VICTOR MANUEL	ACEITUNO MELGAR	VICTOR MANUEL	ACEITUNO MELGAR	ISGC	VM	ACEITUNO MELGAR VM
ANGEL, ACEVES	ANGEL	ACEVES	ANGEL	ACEVES	ISGC	A	ACEVES A
ESTHER, ACHA	ESTHER	ACHA	ESTHER	ACHA	ISGC	E	ACHA E
MOUNIA, ACHAK	MOUNIA	ACHAK	MOUNIA	ACHAK	ISGC	M	ACHAK M
KARINE, ADAM	KARINE	ADAM	KARINE	ADAM	ISGC	K	ADAM K
ANDRZEJ, ADAMSKI	ANDRZEJ	ADAMSKI	ANDRZEJ	ADAMSKI	ISGC	A	ADAMSKI A
ALBERTO, ADAN MAS	ALBERTO	ADAN MAS	ALBERTO	ADAN MAS	ISGC	A	ADAN MAS A
ABDELLAH, ADDAOU	ABDELLAH	ADDAOU	ABDELLAH	ADDAOU	ISGC	A	ADDAOU A
SYED F, ADIL	SYED F	ADIL	SYED F	ADIL	ISGC	SF	ADIL SF
PAULINE, ADLER	PAULINE	ADLER	PAULINE	ADLER	ISGC	P	ADLER P
AITZIBER, ADRADOS	AITZIBER	ADRADOS	AITZIBER	ADRADOS	ISGC	A	ADRADOS A
KOEN, ADRIAENSEN	KOEN	ADRIAENSEN	KOEN	ADRIAENSEN	ISGC	K	ADRIAENSEN K
AMANDINE, ADRIEN	AMANDINE	ADRIEN	AMANDINE	ADRIEN	ISGC	A	ADRIEN A
CARLOS, AFONSO	CARLOS	AFONSO	CARLOS	AFONSO	ISGC	C	AFONSO C
ARSLAN, AFTAB	ARSLAN	AFTAB	ARSLAN	AFTAB	ISGC	A	AFTAB A
MICKA, AGACH	MICKA	AGACH	MICKAEL	AGACH	ISGC	M	AGACH M
MICKAEL, AGACH	MICKAEL	AGACH	MICKAEL	AGACH	ISGC	M	AGACH M
FRANCINE, AGBOSSOU	FRANCINE	AGBOSSOU	FRANCINE	AGBOSSOU NIEDERCORN	ISGC	F	AGBOSSOU F
FRANCINE, AGBOSSOU-NIEDERCORN	FRANCINE	AGBOSSOU-NIEDERCORN	FRANCINE	AGBOSSOU NIEDERCORN	ISGC	F	AGBOSSOU-NIEDERCORN F
